word_count,verb_z,content_word_mean,cos,causal_connective,causal_verb,minimal_edit_distance,verb_phrase_density,familiarity_for_word,YL
642,-0.465535934,0.010379223,0.791076975,18.69158879,0,0.52336309,172.8971963,58878.87931,1.1
708,-0.532575221,0.018624887,0.805755082,24.01129944,0.141242938,0.540843348,179.3785311,58778.11159,3.3
652,-0.544835028,0.014565128,0.824319897,10.73619632,0,0.507377352,177.9141104,58352.19298,3.9
691,-0.485525272,0.014664203,0.826044979,31.83791606,0,0.499579709,192.4746744,58369.869,4.7
391,-0.533256722,0.012573465,0.792781951,15.34526854,0,0.486539232,194.3734015,60180.83333,1.2
389,-0.601232176,0.016771624,0.761769963,7.712082262,0,0.516311947,215.9383033,59115.2,1.8
360,-0.559092285,0.044980106,0.786863306,8.333333333,0,0.484151141,269.4444444,59507.22892,1.3
570,-0.559214743,0.031661961,0.785383192,22.80701754,0,0.509363951,252.6315789,59048.86364,2.7
522,-0.631037962,0.015871208,0.779224632,11.49425287,0,0.515198853,212.6436782,58814.60674,3.8
508,-0.382597243,0.027805223,0.823994041,21.65354331,0.196850394,0.441179216,159.4488189,57968.32298,3.5
505,-0.372566911,0.018807944,0.817238195,47.52475248,0.198019802,0.485604748,196.039604,58208.37989,4.7
577,-0.49128568,0.015755557,0.759053319,12.13171577,0.173310225,0.5370312,181.9757366,57987.09677,3.3
418,-0.567898018,0.00417419,0.722841626,11.96172249,0.4784689,0.549768191,198.5645933,59369.23077,3.3
587,-0.455711297,0.023473422,0.827514498,18.73935264,0.170357751,0.489664438,212.9471891,58237.83784,3.9
389,-0.603346725,0.038600419,0.738712207,5.141388175,0,0.463945658,241.6452442,59721.56863,0.6
567,-0.510819476,0.035488954,0.724299607,5.291005291,0,0.446195735,252.2045855,59639.64497,0.6
496,-0.481179584,0.017509181,0.781682188,6.048387097,0,0.488684396,243.9516129,59490.13158,0.7
553,-0.541507954,0.023516494,0.796830086,23.50813743,0.180831826,0.482152594,224.2314647,57654.16667,3.3
504,-0.518755071,0.015257409,0.792608536,13.88888889,0,0.462897436,188.4920635,58570.68966,4.1
387,-0.526940322,0.014300187,0.739047842,7.751937984,0,0.491846018,175.7105943,59130.2521,3.3
686,-0.492331634,0.033222039,0.769457049,2.915451895,0,0.520373707,198.2507289,57988,0.9
568,-0.555692781,0.058061245,0.786303588,3.521126761,0,0.447362545,237.6760563,59498.40426,0.8
598,-0.415720891,0.035381331,0.73909573,1.672240803,0,0.487241999,252.5083612,59407.22892,0.8
610,-0.510597749,0.036540893,0.766425083,3.278688525,0,0.490444795,213.1147541,59003.77358,0.7
12220,-0.466592562,0.022935473,0.501423725,13.74795417,0.04091653,0.690561855,207.2831424,57669.72732,6.5
